invoiceNumber,orderNumber,shipmentNumber,customerCode,invoiceDate,invoiceSubTotal,invoiceCharges,invoiceTax,invoiceTotal,paymentStatus,PONumber,dueDate,overDue
0007199127-001,7199127,1,100588,2022-07-01T00:00:00,277.62,0,0,277.63,Unpaid,,2022-08-10T00:00:00,No
0007198473-001,7198473,1,100588,2022-07-01T00:00:00,807.74,0,0,807.74,Unpaid,,2022-08-10T00:00:00,No
0007022533-001,7022533,1,100588,2022-06-17T00:00:00,29.98,0,0,29.98,Unpaid,"plastic anchors",2022-07-25T00:00:00,No
0007018001-001,7018001,1,100588,2022-06-17T00:00:00,232.46,0,0,232.46,Unpaid,,2022-07-25T00:00:00,No
0007016497-001,7016497,1,100588,2022-06-17T00:00:00,105.48,0,0,105.48,Unpaid,0617SANDRA,2022-07-25T00:00:00,No
0007014822-001,7014822,1,100588,2022-06-17T00:00:00,807.74,0,0,807.74,Unpaid,,2022-07-25T00:00:00,No
0007011722-001,7011722,1,100588,2022-06-17T00:00:00,"1,372.41",0,0,1372.42,Unpaid,,2022-07-25T00:00:00,No
0007008954-001,7008954,1,100588,2022-06-17T00:00:00,96.62,0,0,96.62,Unpaid,0616CRYSTAL,2022-07-25T00:00:00,No
0006819836-002,6819836,2,100588,2022-06-17T00:00:00,573.74,0,0,573.74,Unpaid,0602LIGHTS,2022-07-25T00:00:00,No
0005271545-005,5271545,5,100588,2022-06-13T00:00:00,"3,247.70",0,0,3247.7,"Past Due","AG POOLS EB",2022-06-12T00:00:00,Yes
