invoiceNumber,orderNumber,shipmentNumber,customerCode,invoiceDate,invoiceSubTotal,invoiceCharges,invoiceTax,invoiceTotal,paymentStatus,PONumber,dueDate,overDue
0007172202-001,7172202,1,MAL3320,2022-06-29T00:00:00,797.48,0,73.76,871.24,Unpaid,Warrne,2022-07-29T00:00:00,No
0007127365-001,7127365,1,MAL3320,2022-06-27T00:00:00,"1,327.82",0,122.83,1450.65,Unpaid,Tile,2022-07-27T00:00:00,No
0007106017-001,7106017,1,MAL3320,2022-06-24T00:00:00,160.06,0,14.8,174.86,Unpaid,Mullen,2022-07-24T00:00:00,No
0005686208-003,5686208,3,MAL3320,2022-06-17T00:00:00,273.45,25,27.6,326.05,"Past Due","731 Stock",2022-07-17T00:00:00,Yes
0005686182-003,5686182,3,MAL3320,2022-06-17T00:00:00,"2,695.29",0,249.31,2944.6,"Past Due",Dennis,2022-07-17T00:00:00,Yes
0005533342-001,5533342,1,MAL3320,2022-06-17T00:00:00,75.86,10,7.95,93.81,"Past Due","VENTURI RETURN",2022-07-17T00:00:00,Yes
0006960679-001,6960679,1,MAL3320,2022-06-14T00:00:00,"20,600.00",25,1946.81,22571.81,"Past Due","STOCK HEATERS ",2022-07-14T00:00:00,Yes
0006914556-001,6914556,1,MAL3320,2022-06-14T00:00:00,97.21,0,8.98,106.19,"Past Due",MacLamore,2022-07-14T00:00:00,Yes
0006919817-001,6919817,1,MAL3320,2022-06-10T00:00:00,"1,062.26",0,98.26,1160.52,"Past Due",Mullen,2022-07-10T00:00:00,Yes
0006902692-001,6902692,1,MAL3320,2022-06-09T00:00:00,"1,316.50",0,121.79,1438.3,"Past Due","CHEMICALS ",2022-07-09T00:00:00,Yes
0006881152-001,6881152,1,MAL3320,2022-06-07T00:00:00,424.40,0,39.26,463.66,"Past Due",Green,2022-07-07T00:00:00,Yes
0006881058-001,6881058,1,MAL3320,2022-06-07T00:00:00,"1,800.93",0,166.59,1967.52,"Past Due",voyd,2022-07-07T00:00:00,Yes
0006809077-001,6809077,1,MAL3320,2022-06-02T00:00:00,675.32,0,62.47,737.79,"Past Due",Mullen,2022-07-02T00:00:00,Yes
0006792676-001,6792676,1,MAL3320,2022-06-01T00:00:00,"2,452.61",0,226.86,2679.47,"Past Due",Kuntzman,2022-07-01T00:00:00,Yes
